;Water_Type_UN;Carbonation_ST;Week;Units
25840;1;0;1;27
25793;1;1;1;72
26111;1;1;1;202
26139;1;0;1;78
43253;0;0;1;24
43254;1;1;1;24
41609;0;0;1;8
41604;1;0;1;9
41605;1;1;1;9
40377;0;0;1;1
39954;0;0;1;26
39937;1;1;1;41
42094;0;0;1;3
40341;0;0;1;11
40332;1;0;1;15
40355;0;0;1;5
40336;1;1;1;14
41636;0;0;1;1
42058;1;0;1;24
42061;0;0;1;23
42054;0;0;1;25
41615;0;0;1;6
41616;0;0;1;6
9218;1;1;1;12
16786;1;1;1;111
14733;1;0;1;123
57362;1;0;1;64
55021;1;0;1;18
54993;1;1;1;42
57545;1;1;1;49
52436;0;0;1;7
52437;1;1;1;7
52452;0;0;1;4
52453;0;0;1;4
52458;1;0;1;2
20580;1;0;1;76
22221;1;1;1;44
17636;1;0;1;78
51856;1;1;1;39
55881;0;0;1;10
55903;0;0;1;2
55909;0;0;1;1
42054;0;0;1;25
42058;1;0;1;24
42061;0;0;1;23
42094;0;0;1;3
39954;0;0;1;26
39937;1;1;1;41
41604;1;0;1;9
41605;1;1;1;9
41609;0;0;1;8
41616;0;0;1;6
41636;0;0;1;1
41615;0;0;1;6
14733;1;0;1;123
25840;1;0;1;27
25793;1;1;1;72
16786;1;1;1;111
26139;1;0;1;78
26111;1;1;1;202
40332;1;0;1;15
40336;1;1;1;14
40341;0;0;1;11
40355;0;0;1;5
40377;0;0;1;1
17636;1;0;1;78
1159;0;0;1;20
1164;0;0;1;16
1198;0;0;1;4
2810;1;1;1;85
2852;0;0;1;34
2848;0;0;1;39
2903;0;0;1;10
43254;1;1;1;24
43253;0;0;1;24
57545;1;1;1;49
55021;1;0;1;18
54993;1;1;1;42
47213;1;1;1;79
34768;1;1;1;1
30282;0;0;1;35
29972;1;0;1;110
29975;1;1;1;100
51856;1;1;1;39
52437;1;1;1;7
52436;0;0;1;7
57362;1;0;1;64
55909;0;0;1;1
55903;0;0;1;2
55881;0;0;1;10
52458;1;0;1;2
52453;0;0;1;4
52452;0;0;1;4
6612;1;1;1;182
22221;1;1;1;44
20580;1;0;1;76
9218;1;1;1;12
247;0;0;1;22
1164;0;0;1;16
1159;0;0;1;20
1198;0;0;1;4
237;0;0;1;45
234;0;0;1;49
207;1;1;1;106
2810;1;1;1;85
2903;0;0;1;10
2852;0;0;1;34
2848;0;0;1;39
631;1;1;1;200
30282;0;0;1;35
29972;1;0;1;110
29975;1;1;1;100
34768;1;1;1;1
631;1;1;1;200
237;0;0;1;45
234;0;0;1;49
247;0;0;1;22
207;1;1;1;106
6612;1;1;1;182
47213;1;1;1;79
127266;1;1;2;2
124328;1;1;2;8
127436;1;0;2;4
132952;1;1;2;11
121801;1;1;2;13
122394;1;1;2;2
122355;1;1;2;1
122349;1;0;2;2
112448;1;0;2;6
115190;1;1;2;5
106584;1;1;2;11
73210;1;1;2;8
98512;1;1;2;5
98572;1;1;2;15
99781;1;0;2;3
99756;1;1;2;7
109553;1;1;2;17
124948;1;1;2;3
124582;1;1;2;5
63405;1;0;2;15
63360;1;1;2;82
63405;1;0;2;15
87028;1;1;2;5
63360;1;1;2;82
112448;1;0;2;6
118972;1;1;2;8
118527;1;1;2;14
139916;1;0;2;2
140024;1;0;2;6
142674;1;1;2;6
148089;1;1;2;3
118527;1;1;2;14
116343;1;1;2;4
116717;1;0;2;24
118972;1;1;2;8
122349;1;0;2;2
122355;1;1;2;1
122394;1;1;2;2
121801;1;1;2;13
137446;1;1;2;7
131258;1;0;2;4
147426;1;1;2;23
132952;1;1;2;11
79190;1;1;2;39
80514;1;0;2;9
152652;1;1;2;10
152801;1;1;2;13
75809;1;1;2;9
74382;1;1;2;31
76058;1;1;2;14
124328;1;1;2;8
124582;1;1;2;5
129923;1;1;2;3
127266;1;1;2;2
127436;1;0;2;4
149498;1;1;2;7
155811;1;1;2;4
124948;1;1;2;3
154314;1;1;2;9
106584;1;1;2;11
131258;1;0;2;4
129923;1;1;2;3
116717;1;0;2;24
99781;1;0;2;3
99756;1;1;2;7
115190;1;1;2;5
116343;1;1;2;4
109553;1;1;2;17
98572;1;1;2;15
152652;1;1;2;10
152801;1;1;2;13
137446;1;1;2;7
140024;1;0;2;6
139916;1;0;2;2
148089;1;1;2;3
149498;1;1;2;7
154314;1;1;2;9
147426;1;1;2;23
142674;1;1;2;6
155811;1;1;2;4
73210;1;1;2;8
74382;1;1;2;31
76058;1;1;2;14
